"","DestinationCity","OriginCity","AirlineStatus","Age","Gender","PriceSensitivity","YearOfFirstFlight","FLightsPerYear","Loyalty","TypeOfTravel","TotalFreqFlyAccount","ShoppingAmount","FoodExpenses","Class","FlightDate","PartnerCode","ScheduleDepHour","DepartureDelayInMin","ArrivalDelayInMin","FlightCancelled","FlightDuration","Distance","LikelihoodRecommendScore","OriginLong","OriginLat","DestLong","DestLat","DestinationState","OriginState"
"4086","Baltimore","Boston","Gold",46,"Female",1,2011,33,-0.8857,"Business travel",2,0,45,"Eco","1/1/14","WN",14,9,5,"No",72,369,10,-71.1407,42.3731,-76.6478,39.2341,"MD","MA"
"4087","Atlanta","Chicago","Gold",49,"Male",1,2004,21,-0.05,"Business travel",3,10,30,"Eco","3/11/14","DL",18,129,124,"No",87,606,10,-87.8954,41.8271,-84.3319,33.8241,"GA","IL"
"4088","Dallas","El Paso","Blue",45,"Female",1,2006,22,0,"Business travel",1,130,70,"Eco","3/20/14","WN",20,22,12,"No",68,562,4,-106.389,31.7802,-96.972,32.8127,"TX","TX"
"4089","San Diego","Phoenix","Blue",35,"Female",2,2007,23,-0.15,"Business travel",1,9,25,"Eco","2/17/14","US",15,0,0,"No",49,304,9,-111.97,33.4941,-117.1288,32.9287,"CA","AZ"
"4090","Hibbing","Minneapolis","Blue",72,"Male",1,2004,29,-0.7059,"Business travel",0,60,20,"Eco","3/14/14","OO",19,0,0,"No",31,174,9,-93.2798,44.9782,-92.9293,47.4139,"MN","MN"
"4091","Houston","Los Angeles","Silver",25,"Male",1,2005,14,-0.8667,"Business travel",0,0,60,"Eco","3/25/14","WN",10,7,0,"No",156,1390,10,-118.1043,33.9827,-95.3935,29.7843,"TX","CA"
"4092","Chicago","Columbus","Blue",43,"Female",2,2009,24,-0.7143,"Business travel",1,0,30,"Eco","3/7/14","EV",20,0,0,"No",53,296,5,-82.9685,40.0212,-87.8954,41.8271,"IL","OH"
"4093","Omaha","Chicago","Blue",77,"Male",1,2009,12,-0.0909,"Personal Travel",0,45,65,"Eco","3/29/14","MQ",17,4,3,"No",63,416,7,-87.8954,41.8271,-96.0346,41.2349,"NE","IL"
"4094","Houston","Atlanta","Platinum",60,"Male",1,2011,12,-0.2632,"Business travel",0,10,90,"Eco","2/26/14","DL",9,4,0,"No",117,689,10,-84.3319,33.8241,-95.3935,29.7843,"TX","GA"
"4095","Kansas City","New Orleans","Silver",38,"Female",1,2004,15,-0.1538,"Personal Travel",5,45,90,"Eco","2/21/14","WN",15,15,6,"No",97,689,8,-90.1437,29.9547,-94.5949,39.0398,"MO","LA"
"4096","Washington","Atlanta","Blue",17,"Female",1,2009,29,-0.7576,"Personal Travel",1,30,7,"Eco","3/25/14","DL",14,0,0,"No",70,547,7,-84.3319,33.8241,-77.1897,38.8974,"DC","GA"
"4097","Charlotte","Miami","Blue",67,"Female",2,2008,12,-0.1429,"Personal Travel",0,35,30,"Eco","3/6/14","US",19,50,52,"No",87,650,4,-80.2314,26.1756,-80.8158,35.2497,"NC","FL"
"4098","Tampa","Milwaukee","Blue",80,"Male",1,2003,16,-0.3333,"Personal Travel",0,30,210,"Eco","1/22/14","WN",14,157,139,"No",129,1075,3,-88.1005,43.0557,-82.5132,28.0062,"FL","WI"
"4099","Brunswick","Atlanta","Platinum",32,"Female",1,2004,17,-0.619,"Personal Travel",0,0,225,"Eco","1/11/14","EV",10,0,60,"No",65,238,1,-84.3319,33.8241,-81.5053,31.2154,"GA","GA"
"4100","Denver","Bakersfield","Blue",26,"Male",2,2004,2,0.6,"Mileage tickets",1,0,68,"Eco","2/22/14","OO",5,0,13,"No",107,845,9,-119.0306,35.3623,-104.9551,39.7108,"CO","CA"
"4101","Miami","New York","Blue",31,"Female",1,2011,8,0.0588,"Business travel",2,0,10,"Eco","3/5/14","AA",17,0,4,"No",167,1089,8,-73.9702,40.7184,-80.2314,26.1756,"FL","NY"
"4102","Miami","Houston","Blue",46,"Female",1,2010,46,-0.8776,"Business travel",0,10,30,"Eco","2/23/14","AA",17,14,14,"No",112,964,7,-95.3935,29.7843,-80.2314,26.1756,"FL","TX"
"4103","Chicago","Philadelphia","Blue",43,"Female",2,2011,29,-0.6111,"Personal Travel",0,0,80,"Eco","2/8/14","US",7,0,0,"No",116,678,7,-75.2984,39.9733,-87.8954,41.8271,"IL","PA"
"4104","Boston","Milwaukee","Blue",38,"Female",1,2012,3,0.4,"Business travel",3,0,77,"Eco Plus","1/7/14","WN",10,17,4,"No",96,860,9,-88.1005,43.0557,-71.1407,42.3731,"MA","WI"
"4105","Atlanta","Montgomery","Gold",31,"Female",1,2004,9,0.8,"Business travel",1,60,30,"Eco","1/10/14","EV",14,58,49,"No",29,147,7,-86.2975,32.4,-84.3319,33.8241,"GA","AL"
"4106","Los Angeles","Las Vegas","Gold",71,"Male",1,2004,47,-0.8431,"Personal Travel",0,0,45,"Eco","3/8/14","AA",10,0,0,"No",41,236,7,-115.1672,36.1349,-118.1043,33.9827,"CA","NV"
"4107","Miami","Houston","Blue",20,"Female",2,2005,22,-0.6296,"Business travel",0,0,0,"Eco","2/14/14","AA",17,11,10,"No",109,964,4,-95.3935,29.7843,-80.2314,26.1756,"FL","TX"
"4108","Chicago","San Francisco","Silver",56,"Female",1,2003,22,-0.4667,"Business travel",0,70,35,"Eco","3/27/14","OU",23,0,0,"No",213,1846,9,-122.1585,37.6712,-87.8954,41.8271,"IL","CA"
"4109","Boston","Richmond","Blue",47,"Male",1,2006,14,-0.5556,"Business travel",0,0,75,"Eco","1/1/14","B6",8,0,0,"No",67,474,9,-77.488,37.4779,-71.1407,42.3731,"MA","VA"
"4110","Atlanta","Pittsburgh","Blue",44,"Female",1,2004,32,-0.9394,"Mileage tickets",2,90,30,"Eco","1/15/14","DL",17,0,0,"No",88,526,8,-79.951,40.457,-84.3319,33.8241,"GA","PA"
"4111","Kansas City","Milwaukee","Platinum",67,"Male",1,2008,8,0.4483,"Personal Travel",1,17,30,"Eco","2/4/14","WN",8,0,14,"No",73,436,4,-88.1005,43.0557,-94.5949,39.0398,"MO","WI"
"4112","Little Rock","Atlanta","Blue",20,"Male",2,2011,45,-0.6981,"Personal Travel",5,20,30,"Eco","3/2/14","DL",7,63,56,"No",72,453,6,-84.3319,33.8241,-92.3212,34.7566,"AR","GA"
"4113","Boston","Minneapolis","Blue",62,"Male",2,2006,20,-0.5385,"Personal Travel",0,60,0,"Eco","2/23/14","DL",10,0,0,"No",125,1124,1,-93.2798,44.9782,-71.1407,42.3731,"MA","MN"
"4114","Charlotte","Chicago","Gold",28,"Female",1,2007,14,-0.75,"Business travel",0,5,40,"Eco","3/27/14","MQ",9,15,23,"No",83,599,9,-87.8954,41.8271,-80.8158,35.2497,"NC","IL"
"4115","Phoenix","Portland","Silver",72,"Female",2,2008,12,-0.7143,"Personal Travel",0,0,75,"Eco","1/9/14","WN",6,0,0,"No",122,1009,8,-122.6511,45.5204,-111.97,33.4941,"AZ","OR"
"4116","Kansas City","Charlotte","Silver",33,"Female",2,2006,24,0.2941,"Business travel",2,0,30,"Eco","3/4/14","US",13,2,0,"No",132,808,8,-80.8158,35.2497,-94.5949,39.0398,"MO","NC"
"4117","Los Angeles","Santa Barbara","Silver",57,"Male",1,2010,4,0.1111,"Business travel",0,0,120,"Eco","1/14/14","OO",10,0,0,"No",37,89,9,-119.7241,34.4275,-118.1043,33.9827,"CA","CA"
"4118","New Orleans","Charlotte","Silver",33,"Female",1,2008,3,0.8462,"Business travel",1,0,180,"Eco","1/21/14","US",18,2,0,"No",95,651,8,-80.8158,35.2497,-90.1437,29.9547,"LA","NC"
"4119","Salt Lake City","Kansas City","Blue",18,"Female",1,2009,4,0.2,"Personal Travel",1,240,150,"Eco","1/29/14","OO",18,0,13,"No",167,920,4,-94.5949,39.0398,-111.9295,40.6408,"UT","MO"
"4120","San Diego","Sacramento","Blue",37,"Female",2,2005,27,-0.6364,"Mileage tickets",2,60,15,"Eco","2/13/14","WN",6,0,0,"No",67,480,6,-121.3247,38.6386,-117.1288,32.9287,"CA","CA"
"4121","Birmingham","Atlanta","Blue",40,"Female",2,2010,6,-0.7143,"Personal Travel",2,0,30,"Eco","2/7/14","DL",17,0,0,"No",28,134,4,-84.3319,33.8241,-86.792,33.4691,"AL","GA"
"4122","Hartford","Detroit","Gold",53,"Male",1,2008,17,-0.4783,"Business travel",0,15,45,"Eco","2/25/14","DL",17,0,0,"No",66,549,10,-83.2276,42.49,-72.6988,41.7401,"CT","MI"
"4123","Los Angeles","New York","Blue",26,"Male",1,2005,15,0.5588,"Business travel",3,0,75,"Eco","3/21/14","AA",21,2,0,"No",339,2475,10,-73.9702,40.7184,-118.1043,33.9827,"CA","NY"
"4124","Tulsa","Atlanta","Blue",70,"Female",1,2003,36,-0.8,"Business travel",0,0,50,"Eco Plus","2/25/14","DL",20,0,0,"No",101,674,4,-84.3319,33.8241,-95.9013,36.1054,"OK","GA"
"4125","Jacksonville","Atlanta","Blue",41,"Male",1,2004,8,0.2,"Business travel",1,0,90,"Eco","1/4/14","DL",15,16,11,"No",46,270,8,-84.3319,33.8241,-81.6427,30.2401,"FL","GA"
"4126","Salt Lake City","Los Angeles","Blue",34,"Male",1,2006,8,0.5152,"Business travel",2,0,30,"Eco","1/31/14","WN",15,12,0,"No",82,590,8,-118.1043,33.9827,-111.9295,40.6408,"UT","CA"
"4127","New York","Salt Lake City","Blue",58,"Male",1,2011,25,-0.5152,"Business travel",0,0,65,"Eco","3/20/14","DL",13,0,11,"No",246,1990,9,-111.9295,40.6408,-73.9702,40.7184,"NY","UT"
"4128","Salt Lake City","Phoenix","Blue",85,"Female",1,2007,59,-0.8438,"Personal Travel",0,0,60,"Eco","3/30/14","DL",18,0,0,"No",84,507,7,-111.97,33.4941,-111.9295,40.6408,"UT","AZ"
"4129","Los Angeles","Las Vegas","Blue",16,"Female",1,2008,45,-0.1111,"Personal Travel",3,0,30,"Eco","2/18/14","WN",18,15,3,"No",42,236,4,-115.1672,36.1349,-118.1043,33.9827,"CA","NV"
"4130","Chicago","New York","Gold",31,"Female",1,2004,22,-0.1892,"Personal Travel",1,90,50,"Eco Plus","3/28/14","AA",7,0,0,"No",127,733,4,-73.9702,40.7184,-87.8954,41.8271,"IL","NY"
"4131","Columbia","Atlanta","Blue",15,"Female",2,2008,13,-0.625,"Personal Travel",1,0,75,"Eco Plus","3/5/14","EV",8,0,0,"No",34,192,5,-84.3319,33.8241,-81.0772,34.0362,"SC","GA"
"4132","Mobile","Houston","Blue",56,"Female",1,2010,25,-0.4706,"Business travel",0,0,5,"Eco","2/20/14","EV",13,0,0,"No",56,427,5,-95.3935,29.7843,-88.1635,30.6674,"AL","TX"
"4133","Columbia","Houston","Blue",27,"Male",2,2003,28,-0.5135,"Business travel",1,60,60,"Eco","2/28/14","EV",13,36,30,"No",109,878,7,-95.3935,29.7843,-81.0772,34.0362,"SC","TX"
"4134","Phoenix","Las Vegas","Blue",77,"Female",0,2004,66,-0.8082,"Business travel",0,10,10,"Eco","2/11/14","WN",19,0,0,"No",42,255,6,-115.1672,36.1349,-111.97,33.4941,"AZ","NV"
"4135","San Diego","Chicago","Blue",43,"Female",1,2004,3,0.7391,"Business travel",3,150,60,"Eco","3/17/14","WN",8,0,6,"No",247,1728,7,-87.8954,41.8271,-117.1288,32.9287,"CA","IL"
"4136","Chicago","Houston","Blue",80,"Female",1,2011,16,-0.6842,"Mileage tickets",0,125,75,"Eco Plus","1/14/14","MQ",6,3,0,"No",115,925,6,-95.3935,29.7843,-87.8954,41.8271,"IL","TX"
"4137","Miami","Orlando","Platinum",73,"Male",1,2007,24,-0.4118,"Business travel",0,30,60,"Business","3/25/14","AA",14,0,0,"No",41,192,7,-81.4112,28.5844,-80.2314,26.1756,"FL","FL"
"4138","New York","San Antonio","Silver",27,"Female",1,2004,14,-0.037,"Business travel",1,35,0,"Eco","3/5/14","DL",8,0,0,"No",192,1587,7,-98.4754,29.5144,-73.9702,40.7184,"NY","TX"
"4139","Memphis","Atlanta","Silver",39,"Female",1,2008,0,1,"Business travel",0,0,60,"Eco","1/4/14","EV",8,1,17,"No",62,332,7,-84.3319,33.8241,-89.9179,35.0951,"TN","GA"
"4140","Boston","Los Angeles","Gold",44,"Female",1,2007,13,0.2121,"Personal Travel",2,60,50,"Eco","3/7/14","OU",22,0,0,"No",290,2611,4,-118.1043,33.9827,-71.1407,42.3731,"MA","CA"
"4141","Atlanta","Minneapolis","Blue",70,"Female",1,2009,35,-0.9444,"Personal Travel",0,30,120,"Eco","1/26/14","DL",11,0,0,"No",114,907,5,-93.2798,44.9782,-84.3319,33.8241,"GA","MN"
"4142","Miami","New York","Silver",33,"Female",1,2003,6,0.5714,"Business travel",3,20,0,"Business","3/3/14","AA",19,0,0,"No",164,1096,8,-73.9702,40.7184,-80.2314,26.1756,"FL","NY"
"4143","Tampa","Providence","Blue",45,"Female",0,2005,38,-0.9,"Mileage tickets",0,178,15,"Eco","3/23/14","WN",17,0,6,"No",176,1136,6,-71.3974,41.7763,-82.5132,28.0062,"FL","RI"
"4144","San Francisco","Atlanta","Gold",38,"Male",1,2007,10,-0.3333,"Business travel",2,0,90,"Eco Plus","2/13/14","DL",13,78,68,"No",295,2139,10,-84.3319,33.8241,-122.1585,37.6712,"CA","GA"
"4145","San Antonio","Atlanta","Blue",40,"Female",1,2003,39,-0.322,"Mileage tickets",2,3,30,"Eco","3/26/14","DL",8,0,0,"No",131,874,7,-84.3319,33.8241,-98.4754,29.5144,"TX","GA"
"4146","Sacramento","Las Vegas","Silver",65,"Female",2,2008,19,-0.8095,"Mileage tickets",0,15,90,"Eco","1/31/14","WN",10,70,75,"No",75,397,10,-115.1672,36.1349,-121.3247,38.6386,"CA","NV"
"4147","Oklahoma City","Dallas","Blue",17,"Female",4,2008,0,1,"Personal Travel",1,0,0,"Eco","3/24/14","WN",14,16,16,"No",38,181,1,-96.972,32.8127,-97.5243,35.5048,"OK","TX"
"4148","San Diego","Reno","Blue",38,"Female",2,2006,14,0.4043,"Personal Travel",3,10,70,"Eco","2/18/14","WN",20,0,0,"No",69,488,5,-119.7959,39.5326,-117.1288,32.9287,"CA","NV"
"4149","Houston","Atlanta","Blue",56,"Female",1,2003,23,-0.6429,"Business travel",1,6,85,"Business","3/18/14","DL",16,17,11,"No",108,696,9,-84.3319,33.8241,-95.3935,29.7843,"TX","GA"
"4150","Memphis","Orlando","Blue",70,"Male",1,2007,36,-0.7561,"Personal Travel",1,0,120,"Eco Plus","1/5/14","WN",14,26,29,"No",113,684,4,-81.4112,28.5844,-89.9179,35.0951,"TN","FL"
"4151","Austin","Dallas","Blue",22,"Male",2,2008,27,-0.5429,"Business travel",0,10,45,"Eco","3/27/14","WN",18,0,0,"No",32,189,6,-96.972,32.8127,-97.7615,30.3585,"TX","TX"
"4152","Dallas","Houston","Blue",30,"Male",2,2005,44,-0.7959,"Business travel",0,0,60,"Eco","3/24/14","EV",7,0,0,"No",41,216,6,-95.3935,29.7843,-96.972,32.8127,"TX","TX"
"4153","San Francisco","Orlando","Silver",38,"Male",1,2006,0,1,"Business travel",3,5,50,"Eco","2/16/14","VX",8,0,3,"No",350,2446,7,-81.4112,28.5844,-122.1585,37.6712,"CA","FL"
"4154","Los Angeles","Salt Lake City","Silver",34,"Male",1,2012,30,-0.6667,"Mileage tickets",0,120,225,"Business","2/15/14","WN",17,8,0,"No",92,590,9,-111.9295,40.6408,-118.1043,33.9827,"CA","UT"
"4155","Wichita","Chicago","Silver",50,"Female",1,2008,17,-0.4167,"Business travel",0,95,15,"Eco","1/8/14","MQ",19,57,51,"No",91,588,9,-87.8954,41.8271,-97.3273,37.6797,"KS","IL"
"4156","San Francisco","Las Vegas","Blue",39,"Female",1,2010,7,0.5333,"Personal Travel",1,0,60,"Eco","1/18/14","WN",17,82,63,"No",63,414,2,-115.1672,36.1349,-122.1585,37.6712,"CA","NV"
"4157","Jacksonville","Charlotte","Blue",47,"Male",2,2003,12,-0.6,"Business travel",0,0,45,"Eco","2/15/14","US",17,3,0,"No",48,328,9,-80.8158,35.2497,-81.6427,30.2401,"FL","NC"
"4158","Fargo","Denver","Blue",77,"Female",1,2009,35,-0.7073,"Personal Travel",0,0,25,"Eco","3/28/14","OO",14,4,3,"No",88,627,7,-104.9551,39.7108,-96.8207,46.8625,"ND","CO"
"4159","Charlotte","Miami","Gold",70,"Female",1,2003,22,-0.5172,"Personal Travel",0,100,108,"Eco Plus","3/13/14","MQ",14,30,19,"No",104,650,4,-80.2314,26.1756,-80.8158,35.2497,"NC","FL"
"4160","Oklahoma City","Atlanta","Blue",50,"Female",1,2008,18,-0.2857,"Business travel",1,0,40,"Business","3/2/14","DL",20,20,15,"No",111,761,9,-84.3319,33.8241,-97.5243,35.5048,"OK","GA"
"4161","Miami","Jacksonville","Silver",23,"Female",1,2011,17,-0.7895,"Business travel",1,0,10,"Eco","2/15/14","MQ",19,0,0,"No",51,335,8,-81.6427,30.2401,-80.2314,26.1756,"FL","FL"
"4162","Milwaukee","Minneapolis","Blue",29,"Female",1,2008,10,0.2857,"Business travel",3,35,50,"Business","3/21/14","WN",6,0,0,"No",42,297,9,-93.2798,44.9782,-88.1005,43.0557,"WI","MN"
"4163","New Orleans","Houston","Silver",40,"Female",1,2006,6,-0.3333,"Business travel",2,60,75,"Eco Plus","3/27/14","WN",9,28,24,"No",42,302,7,-95.3935,29.7843,-90.1437,29.9547,"LA","TX"
"4164","Traverse City","Chicago","Blue",18,"Male",1,2005,15,-0.25,"Personal Travel",1,0,70,"Eco","2/19/14","MQ",19,3,4,"No",38,224,10,-87.8954,41.8271,-85.624,44.731,"MI","IL"
"4165","Detroit","Phoenix","Silver",29,"Female",1,2012,5,0.6,"Business travel",1,0,50,"Eco Plus","3/24/14","US",12,0,2,"No",205,1671,9,-111.97,33.4941,-83.2276,42.49,"MI","AZ"
"4166","Lafayette","Houston","Blue",72,"Female",1,2003,45,-0.6981,"Personal Travel",0,0,148,"Eco","2/25/14","EV",8,10,15,"No",36,201,1,-95.3935,29.7843,-92.0133,30.1654,"LA","TX"
"4167","Denver","Cody","Silver",46,"Male",1,2006,48,-0.7143,"Personal Travel",0,0,45,"Eco","1/7/14","OO",5,1,0,"No",53,391,9,-109.0504,44.5228,-104.9551,39.7108,"CO","WY"
"4168","Tampa","San Juan","Silver",30,"Female",1,2008,6,0.5862,"Personal Travel",2,120,55,"Eco","1/6/14","B6",13,266,255,"No",158,1237,7,-66.1162,18.2882,-82.5132,28.0062,"FL","PR"
"4169","Miami","Atlanta","Blue",38,"Male",0,2012,41,-0.7083,"Business travel",0,0,130,"Business","3/6/14","DL",18,10,27,"No",99,594,9,-84.3319,33.8241,-80.2314,26.1756,"FL","GA"
"4170","Seattle","Spokane","Blue",44,"Female",1,2012,18,0.4286,"Business travel",5,90,50,"Eco","2/22/14","AS",13,0,0,"No",42,224,9,-117.3523,47.6804,-122.2747,47.4684,"WA","WA"
"4171","Portland","Houston","Gold",24,"Female",1,2008,18,-0.5652,"Business travel",0,0,60,"Eco","2/28/14","OU",9,0,12,"No",265,1825,7,-95.3935,29.7843,-122.6511,45.5204,"OR","TX"
"4172","Los Angeles","New York","Blue",54,"Male",2,2005,13,-0.3684,"Business travel",0,0,225,"Eco","2/2/14","VX",9,0,6,"No",369,2475,8,-73.9702,40.7184,-118.1043,33.9827,"CA","NY"
"4173","Phoenix","Spokane","Blue",71,"Female",2,2008,9,-0.3846,"Personal Travel",0,0,30,"Eco","1/24/14","US",9,0,0,"No",132,1020,6,-117.3523,47.6804,-111.97,33.4941,"AZ","WA"
"4174","Birmingham","Tampa","Blue",68,"Male",1,2009,54,-0.9286,"Personal Travel",0,0,90,"Eco","3/27/14","WN",10,2,1,"No",72,459,5,-82.5132,28.0062,-86.792,33.4691,"AL","FL"
"4175","Charleston","Atlanta","Blue",79,"Male",1,2005,52,-0.8571,"Personal Travel",0,60,30,"Eco","2/26/14","DL",12,0,8,"No",48,259,4,-84.3319,33.8241,-80.0155,32.9023,"SC","GA"
"4176","Atlanta","Houston","Silver",46,"Female",1,2006,1,0.75,"Business travel",2,0,15,"Eco","2/18/14","WN",9,0,0,"No",89,696,8,-95.3935,29.7843,-84.3319,33.8241,"GA","TX"
"4177","Los Angeles","Phoenix","Blue",18,"Male",2,2011,35,-0.75,"Mileage tickets",1,10,90,"Eco Plus","2/19/14","OO",19,0,2,"No",61,370,9,-111.97,33.4941,-118.1043,33.9827,"CA","AZ"
"4178","Atlanta","Houston","Blue",20,"Male",2,2006,10,-0.8182,"Mileage tickets",2,4,15,"Eco","1/29/14","WN",7,NA,NA,"Yes",0,696,7,-95.3935,29.7843,-84.3319,33.8241,"GA","TX"
"4179","Lihue","San Jose","Blue",44,"Male",1,2003,30,-0.3333,"Business travel",1,68,15,"Eco","2/1/14","AS",7,0,0,"No",324,2466,9,-121.9451,37.3298,-159.3617,21.9758,"HI","CA"
"4180","San Diego","Phoenix","Blue",54,"Male",2,2008,15,-0.25,"Business travel",0,35,0,"Eco","1/4/14","WN",15,38,23,"No",45,304,8,-111.97,33.4941,-117.1288,32.9287,"CA","AZ"
"4181","Washington","Jacksonville","Blue",61,"Male",1,2010,26,-0.4857,"Personal Travel",0,10,0,"Eco","1/30/14","EV",14,0,0,"No",83,630,7,-81.6427,30.2401,-77.1897,38.8974,"DC","FL"
"4182","Houston","Mobile","Blue",29,"Male",1,2007,6,-0.5,"Business travel",1,0,75,"Eco","1/1/14","EV",9,0,0,"No",74,427,5,-88.1635,30.6674,-95.3935,29.7843,"TX","AL"
"4183","Salt Lake City","Phoenix","Platinum",58,"Male",1,2003,7,0.125,"Business travel",0,0,5,"Eco","2/13/14","DL",19,0,0,"No",76,507,6,-111.97,33.4941,-111.9295,40.6408,"UT","AZ"
"4184","Atlanta","Brunswick","Silver",43,"Female",2,2006,15,-0.3043,"Business travel",2,120,240,"Eco","3/14/14","EV",11,0,0,"No",44,238,8,-81.5053,31.2154,-84.3319,33.8241,"GA","GA"
"4185","Baltimore","Philadelphia","Blue",26,"Female",1,2004,16,-0.6,"Business travel",3,0,105,"Eco Plus","3/10/14","US",17,15,11,"No",23,90,8,-75.2984,39.9733,-76.6478,39.2341,"MD","PA"
"4186","Dallas","Austin","Blue",15,"Female",1,2007,13,-0.5294,"Personal Travel",1,60,95,"Eco","1/30/14","WN",6,0,0,"No",40,189,3,-97.7615,30.3585,-96.972,32.8127,"TX","TX"
"4187","Phoenix","Los Angeles","Blue",45,"Female",1,2003,3,0.4,"Mileage tickets",0,0,0,"Eco Plus","3/28/14","US",12,0,0,"No",59,370,8,-118.1043,33.9827,-111.97,33.4941,"AZ","CA"
"4188","Charlotte","Miami","Blue",76,"Female",2,2010,24,-0.4118,"Personal Travel",0,0,100,"Eco","3/3/14","US",13,0,0,"No",94,650,8,-80.2314,26.1756,-80.8158,35.2497,"NC","FL"
"4189","San Francisco","New York","Blue",19,"Female",1,2007,0,1,"Mileage tickets",1,10,0,"Eco Plus","2/3/14","OU",18,52,91,"No",377,2586,8,-73.9702,40.7184,-122.1585,37.6712,"CA","NY"
"4190","Phoenix","San Francisco","Platinum",45,"Female",1,2007,42,-0.6471,"Business travel",3,0,30,"Business","2/6/14","OO",14,43,21,"No",88,651,10,-122.1585,37.6712,-111.97,33.4941,"AZ","CA"
"4191","Orlando","Atlanta","Gold",54,"Female",1,2009,10,-0.0526,"Business travel",1,25,60,"Eco","1/3/14","WN",12,79,79,"No",66,404,9,-84.3319,33.8241,-81.4112,28.5844,"FL","GA"
"4192","Atlanta","St. Louis","Blue",50,"Male",1,2008,43,-0.9111,"Business travel",1,0,120,"Eco","3/18/14","DL",19,5,1,"No",65,484,9,-90.3409,38.6307,-84.3319,33.8241,"GA","MO"
"4193","Minneapolis","Philadelphia","Blue",33,"Female",1,2004,6,0.3333,"Mileage tickets",2,15,20,"Eco","1/6/14","DL",14,0,0,"No",139,980,7,-75.2984,39.9733,-93.2798,44.9782,"MN","PA"
"4194","Orlando","Rochester","Blue",79,"Female",2,2012,38,-0.8095,"Personal Travel",0,0,135,"Eco","3/29/14","WN",8,0,9,"No",153,1033,5,-77.5682,43.1376,-81.4112,28.5844,"FL","NY"
"4195","Chicago","Austin","Gold",51,"Female",1,2009,9,-0.5,"Business travel",0,60,180,"Eco Plus","2/10/14","AA",7,0,0,"No",123,978,9,-97.7615,30.3585,-87.8954,41.8271,"IL","TX"
"4196","San Antonio","Denver","Blue",71,"Female",2,2003,23,-0.84,"Personal Travel",0,20,140,"Eco","3/17/14","WN",21,35,29,"No",100,794,4,-104.9551,39.7108,-98.4754,29.5144,"TX","CO"
"4197","Phoenix","Boston","Silver",39,"Female",1,2007,15,0.4737,"Personal Travel",4,60,10,"Eco","3/7/14","US",16,2,0,"No",315,2300,9,-71.1407,42.3731,-111.97,33.4941,"AZ","MA"
"4198","Miami","Houston","Blue",67,"Male",1,2010,0,1,"Mileage tickets",0,0,215,"Eco","2/20/14","AA",15,0,0,"No",114,964,4,-95.3935,29.7843,-80.2314,26.1756,"FL","TX"
"4199","San Jose","Phoenix","Blue",50,"Female",1,2006,20,-0.3793,"Business travel",1,0,47,"Eco","1/23/14","US",14,30,33,"No",92,621,7,-111.97,33.4941,-121.9451,37.3298,"CA","AZ"
"4200","Fayetteville","Houston","Gold",33,"Male",1,2003,13,-0.7333,"Business travel",0,510,90,"Eco","2/21/14","EV",19,0,0,"No",63,438,5,-95.3935,29.7843,-94.1798,36.2674,"AR","TX"
"4201","Denver","Oklahoma City","Gold",33,"Female",1,2009,22,-0.4667,"Business travel",2,0,75,"Eco","2/2/14","F9",13,0,0,"No",72,495,4,-97.5243,35.5048,-104.9551,39.7108,"CO","OK"
"4202","Milwaukee","Kansas City","Silver",40,"Female",1,2003,16,-0.3913,"Business travel",1,30,30,"Eco Plus","2/25/14","WN",10,0,0,"No",66,436,8,-94.5949,39.0398,-88.1005,43.0557,"WI","MO"
"4203","Richmond","Atlanta","Gold",62,"Female",1,2008,5,-0.1111,"Business travel",0,25,85,"Business","1/13/14","DL",7,0,1,"No",63,481,10,-84.3319,33.8241,-77.488,37.4779,"VA","GA"
"4204","Chicago","Los Angeles","Blue",72,"Male",2,2008,38,-0.9487,"Mileage tickets",0,0,90,"Eco","2/16/14","AA",15,0,0,"No",191,1744,7,-118.1043,33.9827,-87.8954,41.8271,"IL","CA"
"4205","Phoenix","San Jose","Blue",74,"Female",1,2012,8,0.0588,"Personal Travel",0,0,60,"Eco","3/11/14","US",16,0,3,"No",90,621,4,-121.9451,37.3298,-111.97,33.4941,"AZ","CA"
"4206","Washington","Tampa","Gold",46,"Female",1,2003,21,-0.1053,"Business travel",1,30,90,"Eco","2/26/14","US",14,85,76,"No",105,814,10,-82.5132,28.0062,-77.1897,38.8974,"DC","FL"
"4207","Houston","Las Vegas","Blue",61,"Female",1,2011,14,-0.4,"Business travel",0,0,60,"Eco Plus","1/29/14","WN",14,0,0,"No",151,1235,10,-115.1672,36.1349,-95.3935,29.7843,"TX","NV"
"4208","Albuquerque","Phoenix","Blue",32,"Female",1,2003,5,0.7727,"Business travel",2,0,50,"Eco","3/17/14","WN",13,0,0,"No",45,328,9,-111.97,33.4941,-106.6281,35.1434,"NM","AZ"
"4209","Los Angeles","Las Vegas","Blue",38,"Male",1,2012,36,-0.6364,"Business travel",2,0,120,"Eco","2/7/14","WN",20,15,46,"No",48,236,10,-115.1672,36.1349,-118.1043,33.9827,"CA","NV"
"4210","Little Rock","Denver","Blue",36,"Male",1,2007,16,-0.3333,"Business travel",4,0,70,"Eco","3/18/14","OO",9,5,13,"No",97,771,9,-104.9551,39.7108,-92.3212,34.7566,"AR","CO"
