,DestinationCity,OriginCity,AirlineStatus,Age,Gender,PriceSensitivity,YearOfFirstFlight,FLightsPerYear,Loyalty,TypeOfTravel,TotalFreqFlyAccount,ShoppingAmount,FoodExpenses,Class,FlightDate,PartnerCode,ScheduleDepHour,DepartureDelayInMin,ArrivalDelayInMin,FlightCancelled,FlightDuration,Distance,LikelihoodRecommendScore,OriginLong,OriginLat,DestLong,DestLat,DestinationState,OriginState,AgeGroup
2894,Salt Lake City,Las Vegas,Blue,66,Female,2,2007,33,-0.8333,Mileage tickets,0,0,10,Eco,3/6/2014,DL,7,0,0,No,54,368,8,-115.1672,36.1349,-111.9295,40.6408,UT,NV,over 54
2895,Phoenix,Baltimore,Blue,78,Male,1,2009,49,-0.6897,Personal Travel,0,10,85,Business,3/30/2014,US,6,0,0,No,271,1999,5,-76.6478,39.2341,-111.97,33.4941,AZ,MD,over 54
2896,Houston,Albuquerque,Silver,79,Male,0,2008,53,-0.7667,Personal Travel,0,0,15,Eco,1/18/2014,WN,9,0,0,No,94,759,9,-106.6281,35.1434,-95.3935,29.7843,TX,NM,over 54
2901,Las Vegas,Los Angeles,Blue,68,Female,2,2006,33,-0.6098,Personal Travel,0,45,60,Eco,2/25/2014,WN,11,1,0,No,46,236,4,-118.1043,33.9827,-115.1672,36.1349,NV,CA,over 54
2904,Houston,Orlando,Silver,56,Male,1,2007,25,-0.7857,Business travel,0,0,60,Eco,1/23/2014,OU,6,0,3,No,146,854,9,-81.4112,28.5844,-95.3935,29.7843,TX,FL,over 54
2905,Tampa,Cleveland,Blue,56,Female,1,2003,38,-0.7674,Mileage tickets,0,0,20,Eco,3/8/2014,EV,11,0,6,No,146,927,7,-81.6054,41.4436,-82.5132,28.0062,FL,OH,over 54
2909,Los Angeles,Phoenix,Blue,55,Female,1,2011,25,-0.4286,Personal Travel,0,25,45,Eco,1/22/2014,WN,20,15,10,No,58,370,4,-111.97,33.4941,-118.1043,33.9827,CA,AZ,over 54
2911,Hartford,Orlando,Blue,57,Female,1,2008,6,-0.7143,Business travel,1,0,90,Eco,2/2/2014,B6,18,71,60,No,127,1050,8,-81.4112,28.5844,-72.6988,41.7401,CT,FL,over 54
2913,Los Angeles,San Luis Obispo,Blue,80,Female,1,2008,26,-0.4857,Personal Travel,0,120,90,Eco,3/25/2014,OO,8,0,0,No,48,156,5,-120.6655,35.2792,-118.1043,33.9827,CA,CA,over 54
2915,Houston,Philadelphia,Silver,57,Female,1,2008,0,1,Business travel,0,80,25,Eco,3/2/2014,OU,17,10,34,No,222,1325,9,-75.2984,39.9733,-95.3935,29.7843,TX,PA,over 54
2918,Atlanta,Los Angeles,Blue,60,Female,1,2007,32,-0.7778,Mileage tickets,0,0,90,Eco,3/13/2014,DL,22,10,0,No,206,1947,10,-118.1043,33.9827,-84.3319,33.8241,GA,CA,over 54
2922,Chattanooga,Atlanta,Blue,62,Male,1,2009,25,-0.4706,Personal Travel,2,0,60,Eco,2/13/2014,EV,13,69,73,No,21,106,2,-84.3319,33.8241,-85.2104,35.0585,TN,GA,over 54
2925,Indianapolis,Tampa,Blue,60,Female,1,2012,6,-0.0909,Business travel,0,0,75,Eco,2/15/2014,WN,17,33,33,No,133,837,5,-82.5132,28.0062,-86.1455,39.8113,IN,FL,over 54
2928,Minneapolis,Indianapolis,Blue,76,Female,1,2009,36,-0.7143,Business travel,0,4,25,Eco,1/14/2014,OO,12,0,0,No,81,503,8,-86.1455,39.8113,-93.2798,44.9782,MN,IN,over 54
2929,Chicago,Seattle,Gold,57,Female,1,2010,27,-0.6364,Business travel,0,0,240,Eco,3/13/2014,WN,11,0,0,No,210,1733,9,-122.2747,47.4684,-87.8954,41.8271,IL,WA,over 54
2930,Seattle,Denver,Blue,67,Female,1,2003,27,-0.7419,Personal Travel,0,0,55,Eco Plus,3/2/2014,OO,15,42,43,No,146,1024,4,-104.9551,39.7108,-122.2747,47.4684,WA,CO,over 54
2931,Denver,Portland,Blue,54,Female,2,2003,11,-0.8333,Personal Travel,0,0,165,Eco,2/23/2014,OU,5,0,3,No,126,991,7,-122.6511,45.5204,-104.9551,39.7108,CO,OR,over 54
2933,Philadelphia,Atlanta,Gold,69,Female,1,2004,17,-0.619,Personal Travel,0,0,105,Eco,2/9/2014,US,10,0,0,No,92,666,5,-84.3319,33.8241,-75.2984,39.9733,PA,GA,over 54
2934,New York,Denver,Silver,66,Female,2,2010,19,-0.3571,Personal Travel,0,0,105,Eco,2/28/2014,OU,8,0,0,No,180,1620,10,-104.9551,39.7108,-73.9702,40.7184,NY,CO,over 54
2936,San Diego,Washington,Gold,57,Male,1,2008,16,-0.2308,Business travel,0,30,60,Eco,1/3/2014,OU,17,220,202,No,303,2253,9,-77.1897,38.8974,-117.1288,32.9287,CA,DC,over 54
2938,New York,Los Angeles,Blue,57,Male,1,2003,34,-0.5455,Business travel,0,0,80,Eco,2/18/2014,AA,12,54,31,No,283,2475,9,-118.1043,33.9827,-73.9702,40.7184,NY,CA,over 54
2942,Detroit,Atlanta,Blue,68,Male,1,2012,25,-0.9231,Business travel,0,0,75,Eco,1/17/2014,DL,17,0,0,No,84,594,8,-84.3319,33.8241,-83.2276,42.49,MI,GA,over 54
2944,Wilmington,Atlanta,Blue,63,Female,1,2006,16,-0.3333,Business travel,0,0,10,Eco,1/30/2014,EV,9,NA,NA,Yes,0,377,4,-84.3319,33.8241,-77.8963,34.2166,NC,GA,over 54
2953,Seattle,Denver,Platinum,62,Male,0,2007,2,0.3333,Personal Travel,0,25,0,Eco,1/3/2014,WN,21,194,190,No,160,1024,9,-104.9551,39.7108,-122.2747,47.4684,WA,CO,over 54
2954,Detroit,Miami,Blue,80,Male,2,2010,31,-0.5122,Personal Travel,0,120,45,Eco,2/19/2014,AA,11,0,0,No,160,1145,7,-80.2314,26.1756,-83.2276,42.49,MI,FL,over 54
2957,Salt Lake City,Denver,Silver,69,Male,2,2006,25,-0.7241,Business travel,0,0,300,Eco Plus,2/9/2014,OO,17,0,13,No,79,391,6,-104.9551,39.7108,-111.9295,40.6408,UT,CO,over 54
2959,New Orleans,Houston,Silver,54,Female,2,2003,0,1,Personal Travel,0,0,230,Eco,3/15/2014,OO,10,0,0,No,45,305,6,-95.3935,29.7843,-90.1437,29.9547,LA,TX,over 54
2960,Orlando,Atlanta,Blue,66,Male,2,2011,46,-0.9574,Business travel,0,0,120,Eco,1/27/2014,DL,14,0,6,No,64,404,10,-84.3319,33.8241,-81.4112,28.5844,FL,GA,over 54
2963,Los Angeles,Memphis,Silver,54,Female,2,2005,33,-0.9412,Personal Travel,0,0,55,Eco,2/24/2014,DL,8,1,0,No,222,1619,9,-89.9179,35.0951,-118.1043,33.9827,CA,TN,over 54
2967,Minneapolis,Washington,Platinum,67,Male,1,2008,14,-0.8667,Business travel,0,0,45,Business,2/11/2014,DL,8,0,3,No,143,931,10,-77.1897,38.8974,-93.2798,44.9782,MN,DC,over 54
2969,Phoenix,Philadelphia,Blue,85,Female,1,2011,29,-0.8125,Personal Travel,0,0,180,Eco Plus,1/24/2014,US,15,2,0,No,277,2075,3,-75.2984,39.9733,-111.97,33.4941,AZ,PA,over 54
2975,Las Vegas,Reno,Blue,54,Female,2,2007,21,0.0455,Business travel,1,0,0,Eco,1/26/2014,WN,12,0,0,No,57,345,8,-119.7959,39.5326,-115.1672,36.1349,NV,NV,over 54
2976,Chicago,Houston,Blue,54,Male,1,2011,13,-0.5294,Business travel,0,0,20,Eco,1/24/2014,WN,11,0,2,No,121,937,7,-95.3935,29.7843,-87.8954,41.8271,IL,TX,over 54
2977,Denver,Chicago,Blue,80,Female,1,2003,33,-0.5349,Personal Travel,0,0,80,Eco,2/7/2014,WN,16,36,33,No,135,895,5,-87.8954,41.8271,-104.9551,39.7108,CO,IL,over 54
2978,Las Vegas,San Francisco,Platinum,58,Male,1,2006,33,-0.9412,Business travel,0,40,70,Eco,1/4/2014,VX,12,10,8,No,67,414,10,-122.1585,37.6712,-115.1672,36.1349,NV,CA,over 54
2982,Chicago,Akron,Blue,55,Male,1,2010,23,-0.5862,Business travel,0,0,15,Business,3/29/2014,EV,10,0,0,No,63,343,5,-81.4919,41.0662,-87.8954,41.8271,IL,OH,over 54
2983,Seattle,Las Vegas,Blue,54,Male,2,2010,19,-0.52,Business travel,3,0,20,Business,3/6/2014,OO,15,0,9,No,142,867,8,-115.1672,36.1349,-122.2747,47.4684,WA,NV,over 54
2985,Indianapolis,Atlanta,Blue,57,Female,2,2010,25,-0.4286,Business travel,0,0,90,Eco,1/21/2014,DL,16,19,8,No,67,432,10,-84.3319,33.8241,-86.1455,39.8113,IN,GA,over 54
2987,New York,Las Vegas,Blue,54,Male,2,2009,40,-0.7391,Mileage tickets,0,0,20,Eco,3/4/2014,DL,6,0,0,No,249,2248,6,-115.1672,36.1349,-73.9702,40.7184,NY,NV,over 54
2988,Atlanta,Boston,Blue,60,Male,2,2007,20,-0.4815,Business travel,0,0,60,Eco,1/4/2014,DL,18,5,0,No,144,946,9,-71.1407,42.3731,-84.3319,33.8241,GA,MA,over 54
2991,Orlando,Chicago,Blue,64,Female,1,2012,50,-0.9608,Personal Travel,0,90,60,Eco,2/16/2014,WN,9,5,0,No,119,990,7,-87.8954,41.8271,-81.4112,28.5844,FL,IL,over 54
2993,Knoxville,Chicago,Silver,80,Female,1,2011,24,-0.5484,Mileage tickets,0,20,265,Business,3/9/2014,EV,15,13,10,No,64,475,6,-87.8954,41.8271,-84.0244,35.9168,TN,IL,over 54
2995,Chicago,Washington,Blue,58,Male,1,2009,8,-0.0667,Business travel,0,40,102,Eco,1/9/2014,OU,9,0,0,No,98,612,8,-77.1897,38.8974,-87.8954,41.8271,IL,DC,over 54
2996,Denver,Chicago,Blue,64,Female,1,2010,1,0.8,Business travel,0,0,40,Eco Plus,2/19/2014,OU,13,2,0,No,131,888,8,-87.8954,41.8271,-104.9551,39.7108,CO,IL,over 54
2999,Chicago,Rochester,Blue,56,Female,1,2004,6,0.4783,Business travel,1,30,20,Eco,2/21/2014,WN,7,0,31,No,100,523,9,-77.5682,43.1376,-87.8954,41.8271,IL,NY,over 54
3003,Williston,Minneapolis,Blue,62,Female,2,2011,45,-0.6981,Personal Travel,0,0,40,Eco,2/18/2014,OO,11,0,0,No,85,546,4,-93.2798,44.9782,-103.6327,48.1657,ND,MN,over 54
3005,Los Angeles,Aspen,Blue,76,Male,2,2011,10,0,Personal Travel,0,50,45,Eco,3/7/2014,OO,17,NA,NA,Yes,0,737,7,-106.8403,39.1993,-118.1043,33.9827,CA,CO,over 54
3006,Salt Lake City,Detroit,Silver,60,Male,1,2003,15,-0.2,Business travel,0,0,100,Eco,2/7/2014,DL,19,0,0,No,216,1481,10,-83.2276,42.49,-111.9295,40.6408,UT,MI,over 54
3009,Atlanta,Hartford,Blue,74,Female,1,2003,37,-0.6087,Personal Travel,0,0,55,Eco,2/19/2014,FL,13,0,88,No,127,859,4,-72.6988,41.7401,-84.3319,33.8241,GA,CT,over 54
3012,Milwaukee,Orlando,Blue,61,Female,2,2004,11,-0.2941,Mileage tickets,0,0,54,Eco,3/9/2014,WN,21,27,18,No,154,1066,7,-81.4112,28.5844,-88.1005,43.0557,WI,FL,over 54
3016,Boston,Philadelphia,Blue,61,Female,1,2009,54,-0.7705,Personal Travel,0,0,60,Eco,3/14/2014,US,20,136,131,No,51,280,5,-75.2984,39.9733,-71.1407,42.3731,MA,PA,over 54
3017,Portland,San Jose,Blue,68,Male,2,2008,4,-0.3333,Personal Travel,0,0,120,Eco Plus,1/8/2014,AS,8,0,0,No,88,569,5,-121.9451,37.3298,-122.6511,45.5204,OR,CA,over 54
3021,San Francisco,Denver,Blue,54,Female,1,2007,1,0.8,Business travel,0,15,0,Business,3/17/2014,OU,8,3,16,No,161,967,8,-104.9551,39.7108,-122.1585,37.6712,CA,CO,over 54
3022,Seattle,Salt Lake City,Blue,55,Female,2,2006,0,1,Business travel,0,0,120,Eco Plus,2/24/2014,AS,11,0,0,No,106,689,9,-111.9295,40.6408,-122.2747,47.4684,WA,UT,over 54
3023,Los Angeles,San Jose,Silver,56,Male,1,2007,0,1,Business travel,1,0,10,Eco,1/24/2014,OO,13,13,31,No,59,308,6,-121.9451,37.3298,-118.1043,33.9827,CA,CA,over 54
3028,Chicago,Buffalo,Blue,68,Female,1,2011,9,-0.125,Personal Travel,0,540,110,Eco,1/5/2014,EV,19,NA,NA,Yes,0,473,7,-78.8237,42.9249,-87.8954,41.8271,IL,NY,over 54
3030,Las Vegas,Denver,Gold,60,Male,1,2009,15,-0.6667,Business travel,0,40,30,Eco,3/16/2014,WN,9,0,0,No,88,628,8,-104.9551,39.7108,-115.1672,36.1349,NV,CO,over 54
3032,Los Angeles,San Jose,Silver,80,Female,1,2008,4,0.2,Personal Travel,0,0,110,Business,2/20/2014,WN,11,0,11,No,49,308,8,-121.9451,37.3298,-118.1043,33.9827,CA,CA,over 54
3035,Anchorage,Phoenix,Silver,60,Female,1,2010,19,-0.3571,Business travel,0,0,30,Eco,3/17/2014,AS,16,0,0,No,342,2552,9,-111.97,33.4941,-149.8472,61.1679,AK,AZ,over 54
3039,Omaha,St. Louis,Blue,61,Female,1,2008,36,-0.7561,Business travel,0,0,65,Eco,1/22/2014,WN,16,149,146,No,62,342,9,-90.3409,38.6307,-96.0346,41.2349,NE,MO,over 54
3046,Manchester,Tampa,Blue,67,Female,1,2006,41,-0.7826,Personal Travel,0,90,15,Eco,2/20/2014,WN,19,53,33,No,151,1204,3,-82.5132,28.0062,-71.4797,42.991,NH,FL,over 54
3053,Chicago,Houston,Blue,80,Female,1,2007,23,-0.5333,Personal Travel,0,0,60,Eco,3/28/2014,OU,6,0,0,No,128,925,2,-95.3935,29.7843,-87.8954,41.8271,IL,TX,over 54
3054,Wichita,Chicago,Gold,80,Female,2,2008,17,-0.5455,Personal Travel,0,0,35,Eco Plus,2/23/2014,OO,15,7,0,No,97,588,7,-87.8954,41.8271,-97.3273,37.6797,KS,IL,over 54
3055,San Francisco,Sacramento,Blue,54,Female,1,2004,61,-0.7941,Personal Travel,0,0,10,Eco,3/12/2014,OO,20,0,9,No,34,86,3,-121.3247,38.6386,-122.1585,37.6712,CA,CA,over 54
3057,Orlando,Boston,Blue,58,Male,2,2009,50,-0.8868,Personal Travel,0,9,20,Eco,3/21/2014,B6,19,26,7,No,155,1121,3,-71.1407,42.3731,-81.4112,28.5844,FL,MA,over 54
3060,San Jose,Phoenix,Silver,60,Female,1,2012,20,-0.6,Personal Travel,0,5,115,Eco,2/4/2014,US,17,10,5,No,94,621,8,-111.97,33.4941,-121.9451,37.3298,CA,AZ,over 54
3061,Los Angeles,Houston,Gold,56,Female,1,2009,12,-0.5,Business travel,0,5,95,Eco Plus,3/16/2014,OU,9,0,0,No,181,1379,9,-95.3935,29.7843,-118.1043,33.9827,CA,TX,over 54
3066,New York,Boston,Silver,54,Male,1,2006,9,-0.2,Business travel,0,0,210,Eco,2/18/2014,US,12,28,34,No,52,184,8,-71.1407,42.3731,-73.9702,40.7184,NY,MA,over 54
3068,Atlanta,Phoenix,Silver,57,Male,1,2004,49,-0.661,Personal Travel,0,0,30,Eco Plus,1/22/2014,US,10,0,0,No,175,1587,7,-111.97,33.4941,-84.3319,33.8241,GA,AZ,over 54
3072,Atlanta,Fayetteville,Blue,69,Male,2,2008,0,1,Personal Travel,0,0,30,Eco,2/28/2014,EV,16,0,0,No,62,331,6,-78.9768,35.0526,-84.3319,33.8241,GA,NC,over 54
3077,Houston,Orlando,Blue,55,Male,1,2007,0,1,Business travel,1,0,60,Eco Plus,3/7/2014,OU,6,0,0,No,130,854,9,-81.4112,28.5844,-95.3935,29.7843,TX,FL,over 54
3080,New York,New Orleans,Blue,85,Male,1,2007,46,-0.8776,Personal Travel,0,0,210,Eco,3/30/2014,B6,10,0,0,No,146,1182,6,-90.1437,29.9547,-73.9702,40.7184,NY,LA,over 54
3083,Tampa,Houston,Blue,62,Male,1,2011,4,0,Business travel,0,0,30,Eco,3/27/2014,WN,10,9,0,No,92,781,7,-95.3935,29.7843,-82.5132,28.0062,FL,TX,over 54
3084,Jacksonville,Baltimore,Blue,63,Female,1,2005,40,-0.7021,Business travel,0,20,90,Eco,1/12/2014,WN,19,19,7,No,100,663,8,-76.6478,39.2341,-81.6427,30.2401,FL,MD,over 54
3088,Idaho Falls,Denver,Gold,61,Female,1,2003,29,-0.871,Business travel,0,60,165,Eco,2/22/2014,OO,11,0,0,No,79,458,8,-104.9551,39.7108,-112.0008,43.4952,ID,CO,over 54
3091,Buffalo,Charlotte,Blue,72,Female,1,2008,30,-0.7143,Personal Travel,1,0,45,Eco,3/13/2014,US,9,0,0,No,83,546,3,-80.8158,35.2497,-78.8237,42.9249,NY,NC,over 54
3101,Lubbock,Houston,Blue,56,Female,1,2006,18,-0.8947,Mileage tickets,0,102,50,Eco,2/27/2014,EV,17,0,0,No,79,458,5,-95.3935,29.7843,-101.8932,33.5592,TX,TX,over 54
3107,Atlanta,Washington,Blue,67,Male,1,2003,36,-0.6744,Business travel,1,30,65,Business,3/5/2014,WN,6,0,4,No,93,547,10,-77.1897,38.8974,-84.3319,33.8241,GA,DC,over 54
3111,Miami,New Orleans,Blue,66,Female,1,2003,0,1,Personal Travel,0,0,20,Eco,2/21/2014,AA,12,0,10,No,84,675,4,-90.1437,29.9547,-80.2314,26.1756,FL,LA,over 54
3112,Aspen,Denver,Blue,71,Female,1,2008,22,-0.375,Business travel,0,30,60,Eco,3/31/2014,OO,14,0,0,No,28,125,10,-104.9551,39.7108,-106.8403,39.1993,CO,CO,over 54
3113,Atlanta,Fayetteville,Gold,59,Female,1,2011,19,-0.52,Business travel,0,0,120,Eco,3/30/2014,EV,12,0,1,No,70,331,2,-78.9768,35.0526,-84.3319,33.8241,GA,NC,over 54
3115,Charlotte,San Francisco,Blue,62,Female,1,2012,13,-0.7333,Business travel,0,0,120,Eco,2/15/2014,US,11,13,0,No,238,2296,9,-122.1585,37.6712,-80.8158,35.2497,NC,CA,over 54
3116,El Paso,Houston,Blue,78,Female,1,2007,13,-0.2381,Personal Travel,0,0,140,Eco Plus,1/2/2014,WN,13,9,4,No,97,677,2,-95.3935,29.7843,-106.389,31.7802,TX,TX,over 54
3119,Orlando,Manchester,Platinum,63,Female,2,2011,47,-0.8431,Personal Travel,0,0,50,Eco,3/2/2014,WN,7,0,0,No,177,1142,4,-71.4797,42.991,-81.4112,28.5844,FL,NH,over 54
3120,New York,Jacksonville,Platinum,71,Male,1,2012,47,-0.7091,Personal Travel,0,60,30,Eco,3/5/2014,B6,12,81,79,No,96,828,2,-81.6427,30.2401,-73.9702,40.7184,NY,FL,over 54
3124,Phoenix,Seattle,Blue,65,Female,1,2005,6,-0.2,Business travel,0,0,0,Eco,2/18/2014,US,17,0,0,No,140,1107,3,-122.2747,47.4684,-111.97,33.4941,AZ,WA,over 54
3129,Atlanta,Richmond,Silver,67,Male,1,2008,21,-0.4,Personal Travel,0,0,105,Eco,1/3/2014,DL,9,6,7,No,73,481,8,-77.488,37.4779,-84.3319,33.8241,GA,VA,over 54
3130,Charlotte,Salt Lake City,Blue,63,Male,1,2005,30,-0.6667,Business travel,0,0,110,Eco,3/15/2014,US,23,7,10,No,210,1727,5,-111.9295,40.6408,-80.8158,35.2497,NC,UT,over 54
3138,Boston,Philadelphia,Blue,80,Female,1,2012,13,-0.625,Personal Travel,0,260,75,Eco,1/11/2014,B6,13,151,182,No,66,280,5,-75.2984,39.9733,-71.1407,42.3731,MA,PA,over 54
3140,Atlanta,Washington,Blue,62,Female,1,2011,13,-0.2381,Business travel,0,80,30,Eco,3/21/2014,DL,14,0,0,No,84,534,9,-77.1897,38.8974,-84.3319,33.8241,GA,DC,over 54
3141,Manchester,Orlando,Blue,65,Male,2,2005,17,-0.7,Mileage tickets,0,50,60,Eco,3/11/2014,WN,14,4,0,No,144,1142,9,-81.4112,28.5844,-71.4797,42.991,NH,FL,over 54
3143,Washington,Minneapolis,Blue,72,Female,2,2003,38,-0.7674,Personal Travel,0,30,70,Eco,2/10/2014,DL,7,0,0,No,117,931,7,-93.2798,44.9782,-77.1897,38.8974,DC,MN,over 54
3145,Seattle,Los Angeles,Blue,58,Female,2,2004,27,-0.7419,Business travel,0,100,0,Eco,2/24/2014,AS,14,0,0,No,132,954,9,-118.1043,33.9827,-122.2747,47.4684,WA,CA,over 54
3146,Atlanta,Mobile,Blue,75,Female,1,2006,27,-0.9286,Personal Travel,0,60,85,Eco,2/15/2014,EV,15,0,0,No,46,302,5,-88.1635,30.6674,-84.3319,33.8241,GA,AL,over 54
3147,Portland,Las Vegas,Blue,71,Female,1,2006,41,-0.6735,Personal Travel,0,60,30,Eco,3/17/2014,AS,7,0,10,No,131,763,3,-115.1672,36.1349,-122.6511,45.5204,OR,NV,over 54
3148,Philadelphia,Detroit,Blue,70,Female,1,2003,53,-0.8596,Personal Travel,0,0,30,Eco,2/25/2014,US,11,29,13,No,66,453,3,-83.2276,42.49,-75.2984,39.9733,PA,MI,over 54
3157,Sacramento,Houston,Blue,56,Male,2,2010,33,-0.8333,Mileage tickets,1,120,60,Eco,1/3/2014,OU,18,100,79,No,219,1609,5,-95.3935,29.7843,-121.3247,38.6386,CA,TX,over 54
3159,Baltimore,Charleston,Blue,60,Female,0,2004,16,-0.6842,Personal Travel,0,45,6,Eco,2/28/2014,WN,7,0,0,No,65,472,7,-80.0155,32.9023,-76.6478,39.2341,MD,SC,over 54
3160,Rochester,Washington,Silver,80,Male,1,2003,37,-0.9474,Personal Travel,0,0,160,Eco,3/5/2014,EV,8,0,0,No,47,288,5,-77.1897,38.8974,-77.5682,43.1376,NY,DC,over 54
3161,Little Rock,Baltimore,Blue,62,Male,1,2008,49,-0.96,Personal Travel,0,0,170,Eco,1/9/2014,WN,16,11,9,No,147,912,4,-76.6478,39.2341,-92.3212,34.7566,AR,MD,over 54
3162,Phoenix,Austin,Platinum,63,Male,2,2011,10,-0.0526,Personal Travel,0,0,60,Eco,2/18/2014,WN,12,3,0,No,126,872,2,-97.7615,30.3585,-111.97,33.4941,AZ,TX,over 54
3164,Albuquerque,Houston,Blue,80,Male,1,2011,43,-0.6863,Personal Travel,0,150,60,Eco,2/17/2014,EV,15,35,32,No,114,744,2,-95.3935,29.7843,-106.6281,35.1434,NM,TX,over 54
3165,Muskegon,Chicago,Gold,61,Female,1,2006,17,-0.8889,Business travel,0,0,15,Business,1/8/2014,OO,17,4,0,No,33,118,9,-87.8954,41.8271,-86.213,43.1656,MI,IL,over 54
3167,Houston,Shreveport,Blue,57,Female,1,2008,1,0,Personal Travel,0,10,30,Eco Plus,2/8/2014,EV,13,0,0,No,43,192,6,-93.7562,32.4873,-95.3935,29.7843,TX,LA,over 54
3177,Brownsville,Houston,Silver,75,Male,1,2010,32,-0.8824,Personal Travel,0,0,125,Eco,1/26/2014,EV,14,0,0,No,49,308,4,-95.3935,29.7843,-97.4736,25.9664,TX,TX,over 54
3179,New Orleans,Houston,Blue,85,Female,2,2009,37,-0.9474,Personal Travel,0,0,70,Eco,2/28/2014,WN,17,37,29,No,41,302,2,-95.3935,29.7843,-90.1437,29.9547,LA,TX,over 54
3180,Chicago,Green Bay,Platinum,63,Male,1,2010,13,-0.5294,Business travel,0,0,140,Eco,1/9/2014,EV,5,3,10,No,35,173,1,-88.0395,44.5072,-87.8954,41.8271,IL,WI,over 54
3181,Oklahoma City,Salt Lake City,Blue,69,Female,2,2009,33,-0.7838,Personal Travel,0,0,50,Eco,3/16/2014,OO,13,0,0,No,111,866,4,-111.9295,40.6408,-97.5243,35.5048,OK,UT,over 54
3198,Washington,Austin,Silver,56,Male,1,2009,59,-0.7101,Personal Travel,0,0,60,Eco,3/30/2014,WN,13,0,19,No,183,1315,7,-97.7615,30.3585,-77.1897,38.8974,DC,TX,over 54
3203,Atlanta,Boston,Silver,54,Male,0,2012,19,-0.7273,Business travel,1,30,45,Eco,1/5/2014,DL,12,93,94,No,155,946,9,-71.1407,42.3731,-84.3319,33.8241,GA,MA,over 54
3210,Miami,Cincinnati,Blue,58,Female,1,2007,2,0.5,Personal Travel,0,15,210,Eco,3/6/2014,MQ,7,0,0,No,141,948,3,-84.462,39.1855,-80.2314,26.1756,FL,OH,over 54
3212,St. Louis,Charlotte,Blue,67,Male,1,2008,50,-0.9231,Personal Travel,0,0,90,Eco,1/15/2014,US,18,0,0,No,89,575,5,-80.8158,35.2497,-90.3409,38.6307,MO,NC,over 54
3222,Orlando,Atlanta,Blue,69,Female,1,2008,18,-0.5,Personal Travel,0,4,86,Eco,1/4/2014,DL,19,8,16,No,67,404,5,-84.3319,33.8241,-81.4112,28.5844,FL,GA,over 54
3224,Fort Smith,Atlanta,Blue,59,Female,1,2010,9,-0.2,Business travel,1,5,45,Eco Plus,1/5/2014,EV,20,29,38,No,98,579,8,-84.3319,33.8241,-94.3767,35.479,AR,GA,over 54
3227,Houston,Dallas,Blue,57,Female,1,2003,4,-0.1429,Business travel,0,65,130,Eco,3/3/2014,EV,17,5,3,No,45,216,1,-96.972,32.8127,-95.3935,29.7843,TX,TX,over 54
3228,Boston,Minneapolis,Silver,57,Female,2,2005,36,-0.6364,Personal Travel,0,0,90,Eco,2/20/2014,DL,7,0,0,No,127,1124,10,-93.2798,44.9782,-71.1407,42.3731,MA,MN,over 54
3230,Charlotte,New York,Blue,80,Female,2,2010,31,-0.55,Personal Travel,0,0,68,Eco,2/19/2014,US,7,0,0,No,92,544,5,-73.9702,40.7184,-80.8158,35.2497,NC,NY,over 54
3231,Los Angeles,Philadelphia,Blue,80,Female,1,2006,36,-0.7143,Personal Travel,0,0,65,Eco Plus,2/27/2014,US,13,0,1,No,349,2402,7,-75.2984,39.9733,-118.1043,33.9827,CA,PA,over 54
3233,Tulsa,Denver,Gold,59,Female,2,2012,19,-0.3103,Personal Travel,0,40,45,Eco Plus,1/12/2014,OO,9,1,3,No,72,541,7,-104.9551,39.7108,-95.9013,36.1054,OK,CO,over 54
3236,Phoenix,San Luis Obispo,Blue,78,Male,1,2011,64,-0.8028,Personal Travel,0,0,45,Eco,2/21/2014,OO,16,0,0,No,86,509,4,-120.6655,35.2792,-111.97,33.4941,AZ,CA,over 54
3239,Boston,Denver,Silver,63,Female,1,2008,4,0.3333,Business travel,0,0,90,Eco Plus,3/16/2014,OU,17,0,8,No,209,1754,8,-104.9551,39.7108,-71.1407,42.3731,MA,CO,over 54
3242,Houston,Tulsa,Blue,67,Female,2,2010,50,-0.7241,Personal Travel,0,0,50,Eco,3/27/2014,EV,13,0,1,No,73,429,5,-95.9013,36.1054,-95.3935,29.7843,TX,OK,over 54
3249,Atlanta,Oklahoma City,Blue,54,Male,2,2008,31,-0.8788,Business travel,0,0,0,Eco,1/24/2014,DL,18,0,7,No,95,761,8,-97.5243,35.5048,-84.3319,33.8241,GA,OK,over 54
3256,Austin,Tampa,Silver,57,Male,1,2003,24,-0.4118,Business travel,0,20,30,Eco,3/9/2014,WN,9,0,8,No,149,928,9,-82.5132,28.0062,-97.7615,30.3585,TX,FL,over 54
3265,Chicago,Syracuse,Blue,56,Male,1,2005,33,-0.7368,Business travel,0,70,85,Business,3/27/2014,MQ,17,19,31,No,106,607,10,-76.164,43.0904,-87.8954,41.8271,IL,NY,over 54
3266,Minneapolis,St. Louis,Blue,69,Female,1,2003,55,-0.6923,Personal Travel,0,0,0,Eco,2/5/2014,WN,19,0,0,No,69,448,3,-90.3409,38.6307,-93.2798,44.9782,MN,MO,over 54
3267,Los Angeles,New York,Blue,68,Male,1,2007,63,-0.8261,Personal Travel,0,30,50,Eco,2/3/2014,DL,16,122,184,No,371,2475,4,-73.9702,40.7184,-118.1043,33.9827,CA,NY,over 54
